,state,x,y
0,Andhra Pradesh,-57.0,-164.0
1,Arunachal Pradesh,223.0,103.0
2,Assam,188.0,60.0
3,Bihar,63.0,45.0
4,Chhattisgarh,-12.0,-39.0
5,Goa,-149.0,-155.0
6,Gujarat,-198.0,-7.0
7,Haryana,-115.0,120.0
8,Himachal Pradesh,-91.0,172.0
9,Jammu And Kashmir,-106.0,226.0
10,Jharkhand,49.0,5.0
11,Karnataka,-122.0,-172.0
12,Kerala,-106.0,-252.0
13,Madhya Pradesh,-70.0,-1.0
14,Maharashtra,-125.0,-78.0
15,Manipur,208.0,26.0
16,Meghalaya,164.0,44.0
17,Mizoram,187.0,-8.0
18,Nagaland,215.0,54.0
19,Odisha,34.0,-52.0
20,Punjab,-124.0,150.0
21,Rajasthan,-168.0,59.0
22,Sikkim,110.0,83.0
23,Tamil Nadu,-67.0,-235.0
24,Telangana,-56.0,-104.0
25,Tripura,167.0,5.0
26,Uttar Pradesh,-32.0,65.0
27,Uttarakhand,101.0,-4.0
28,West Bengal,-56.0,136.0
